"","name","count","rank","rank_percent","us_rank","us_total_occurences"
"383","patton","48,942",383,75.6,464,"64,772"
"384","reese","48,915",384,68.2,405,"71,754"
"385","hardy","48,776",385,63.7,374,"76,608"
"386","gill","48,708",386,70.9,430,"68,699"
"387","malone","48,341",387,69.8,426,"69,257"
"388","drake","48,331",388,81.8,506,"59,055"
"389","pratt","48,002",389,80.3,500,"59,801"
"390","stevenson","47,956",390,65.8,395,"72,892"
"391","short","47,914",391,85.7,536,"55,903"
"392","wall","47,764",392,87.8,557,"54,401"
"393","foley","47,597",393,93.6,605,"50,852"
"394","sweeney","47,442",394,92.1,591,"51,500"
"395","townsend","47,192",395,70.6,444,"66,853"
"396","wilcox","47,173",396,85.8,546,"54,987"
"397","wilkinson","47,166",397,89.9,576,"52,483"
"398","hensley","46,986",398,94.2,618,"49,858"
"399","abbott","46,974",399,91,588,"51,620"
"400","farrell","46,961",400,91.9,599,"51,095"
"401","shepherd","46,916",401,81,515,"57,935"
"402","saunders","46,825",402,69.7,439,"67,210"
"403","martinez","46,814",403,6,11,"775,072"
"404","norman","46,720",404,71.6,461,"65,269"
"405","mcgee","46,708",405,64.9,404,"71,925"
"406","bryan","46,691",406,84.5,542,"55,269"
"407","mcbride","46,575",407,76.5,495,"60,874"
"408","berg","46,497",408,95.9,637,"48,480"
"409","combs","46,463",409,87.4,570,"53,180"
"410","love","46,446",410,59.3,363,"78,323"
"411","brennan","46,350",411,96,642,"48,296"
"412","cain","46,339",412,80.1,516,"57,873"
"413","cline","46,305",413,94.2,628,"49,167"
"414","huffman","46,196",414,92.9,620,"49,737"
"415","ballard","46,111",415,77.3,503,"59,660"
"416","cobb","45,937",416,72.1,472,"63,739"
"417","kirby","45,898",417,87.5,577,"52,473"
"418","oneill","45,873",418,94.3,633,"48,656"
"419","francis","45,824",419,63.9,406,"71,723"
"420","koch","45,815",420,96.9,657,"47,286"
"421","lloyd","45,810",421,74.9,493,"61,154"
"422","russo","45,787",422,95.1,645,"48,126"
"423","carey","45,702",423,83.2,547,"54,924"
"424","callahan","45,577",424,91.3,617,"49,925"
"425","moody","45,505",425,73,479,"62,344"
"426","morrow","45,411",426,81.6,538,"55,664"
"427","underwood","45,338",427,81,535,"55,973"
"428","york","45,030",428,87.7,596,"51,334"
"429","pope","44,991",429,72.9,486,"61,750"
"430","boyer","44,929",430,90.6,622,"49,601"
"431","huff","44,671",431,82.9,564,"53,892"
"432","morton","44,644",432,75.9,509,"58,788"
"433","summers","44,634",433,80.6,541,"55,391"
"434","briggs","44,629",434,77.9,522,"57,297"
"435","horn","44,572",435,86.7,593,"51,380"
"436","kane","44,470",436,91.6,636,"48,527"
"437","walton","44,416",437,62.6,414,"70,997"
"438","phelps","44,412",438,86.8,598,"51,154"
"439","rodriguez","44,394",439,5.5,9,"804,240"
"440","dalton","44,342",440,88.4,615,"50,166"
"441","patrick","44,287",441,76,513,"58,257"
"442","conley","44,152",442,81.5,562,"54,194"
"443","kirk","44,117",443,84.7,582,"52,056"
"444","curry","44,041",444,61.7,410,"71,344"
"445","hancock","43,741",445,88.7,625,"49,330"
"446","floyd","43,577",446,67.9,469,"64,141"
"447","macdonald","43,516",447,95.1,685,"45,782"
"448","yoder","43,409",448,98.1,707,"44,245"
"449","logan","43,318",449,67.1,465,"64,576"
"450","lindsey","43,237",450,70.6,492,"61,199"
"451","nicholson","43,109",451,77,534,"55,986"
"452","jacobson","43,101",452,96,695,"44,874"
"453","garrison","43,066",453,85.3,611,"50,482"
"454","walter","42,934",454,90.2,651,"47,615"
"455","kline","42,826",455,95.4,694,"44,900"
"456","allison","42,753",456,83,590,"51,504"
"457","skinner","42,727",457,81.4,575,"52,490"
"458","silva","42,492",458,33.7,214,"126,164"
"459","chase","42,475",459,83.7,606,"50,777"
"460","ingram","42,459",460,63.7,446,"66,665"
"461","gibbs","42,409",461,67.8,478,"62,514"
"462","burnett","42,104",462,72.8,517,"57,859"
"463","atkinson","42,082",463,81.7,592,"51,489"
"464","dillon","42,016",464,86,631,"48,833"
"465","vincent","41,647",465,82.3,608,"50,628"
"466","heath","41,619",466,82.7,614,"50,307"
"467","bruce","41,525",467,79.8,583,"52,004"
"468","carson","41,458",468,74.3,537,"55,821"
"469","stein","41,420",469,95.6,720,"43,331"
"470","clarke","41,368",470,66.1,476,"62,546"
"471","booth","41,366",471,85.2,635,"48,580"
"472","greer","41,297",472,75.6,552,"54,611"
"473","rich","41,295",473,87,654,"47,477"
"474","odonnell","41,287",474,96.5,728,"42,802"
"475","hines","41,214",475,60.5,432,"68,145"
"476","hood","41,157",476,76.6,566,"53,737"
"477","banks","41,008",477,41.3,278,"99,294"
"478","poole","40,986",478,74.9,549,"54,706"
"479","berger","40,899",479,93.9,716,"43,556"
